starting compiler:
Linp	 <pos> 3
Linp	 <pos> 2
Linp	 <pos> 1
Lwt		 <pos> 0	 <cm_addr> 977
Lwt		 <pos> 0	 <cm_addr> 993
Lwt		 <pos> 0	 <cm_addr> 1009
Lwt		 <pos> 0	 <cm_addr> 1025
Lwt		 <pos> 0	 <cm_addr> 1041
Lwt		 <pos> 0	 <cm_addr> 1057
Lwt		 <pos> 0	 <cm_addr> 1073
Lwt		 <pos> 0	 <cm_addr> 1089
Lwt		 <pos> 0	 <cm_addr> 1105
Lwt		 <pos> 0	 <cm_addr> 1121
Lwt		 <pos> 0	 <cm_addr> 1137
Lwt		 <pos> 0	 <cm_addr> 1153
Lwt		 <pos> 0	 <cm_addr> 1169
Lwt		 <pos> 0	 <cm_addr> 1185
Lwt		 <pos> 0	 <cm_addr> 1201
Lwt		 <pos> 0	 <cm_addr> 1217
Lwt		 <pos> 0	 <cm_addr> 1233
Lwt		 <pos> 0	 <cm_addr> 1249
Lwt		 <pos> 0	 <cm_addr> 1265
Lwt		 <pos> 0	 <cm_addr> 1281
Lwt		 <pos> 0	 <cm_addr> 1297
Lwt		 <pos> 0	 <cm_addr> 1313
Lwt		 <pos> 0	 <cm_addr> 1329
Lwt		 <pos> 0	 <cm_addr> 1345
Lwt		 <pos> 0	 <cm_addr> 1361
Lwt		 <pos> 0	 <cm_addr> 1377
Lwt		 <pos> 0	 <cm_addr> 1393
Lwt		 <pos> 0	 <cm_addr> 1409
Lwt		 <pos> 0	 <cm_addr> 1425
Lwt		 <pos> 0	 <cm_addr> 1441
Lwt		 <pos> 0	 <cm_addr> 1457
Lwt		 <pos> 0	 <cm_addr> 1473
Lwt		 <pos> 0	 <cm_addr> 1489
Lwt		 <pos> 0	 <cm_addr> 1505
Lwt		 <pos> 0	 <cm_addr> 1521
Lwt		 <pos> 0	 <cm_addr> 1537
Lwt		 <pos> 0	 <cm_addr> 1553
Lwt		 <pos> 0	 <cm_addr> 1569
Lwt		 <pos> 0	 <cm_addr> 1585
Lwt		 <pos> 0	 <cm_addr> 1601
Lwt		 <pos> 0	 <cm_addr> 1617
Lwt		 <pos> 0	 <cm_addr> 1633
Lwt		 <pos> 0	 <cm_addr> 1649
Lwt		 <pos> 0	 <cm_addr> 1665
Lwt		 <pos> 0	 <cm_addr> 1681
Lwt		 <pos> 0	 <cm_addr> 1697
Lwt		 <pos> 0	 <cm_addr> 1713
Lwt		 <pos> 0	 <cm_addr> 1729
Lwt		 <pos> 0	 <cm_addr> 1745
Lwt		 <pos> 0	 <cm_addr> 1761
Lwt		 <pos> 0	 <cm_addr> 1777
Lwt		 <pos> 0	 <cm_addr> 1793
Lwt		 <pos> 0	 <cm_addr> 1809
Lwt		 <pos> 0	 <cm_addr> 1825
Lwt		 <pos> 0	 <cm_addr> 1841
Lwt		 <pos> 0	 <cm_addr> 1857
Lwt		 <pos> 0	 <cm_addr> 1873
Lwt		 <pos> 0	 <cm_addr> 1889
Lwt		 <pos> 0	 <cm_addr> 1905
Lwt		 <pos> 0	 <cm_addr> 1921
Lwt		 <pos> 0	 <cm_addr> 1937
Lwt		 <pos> 0	 <cm_addr> 1953
Lwt		 <pos> 0	 <cm_addr> 1969
Lwt		 <pos> 0	 <cm_addr> 1985
